Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc
1  ,12168,NES,10-Yard Fight,Football,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/10%20yard%20fight.jpg?raw=true,
2  ,37965,NES,10-Yard Fight [5 Screw],Football,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/10%20Yard%20Fight.jpg?raw=true,
3  ,12169,NES,1942,Other,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/1942.jpg?raw=true,
4  ,37996,NES,1942 [5 Screw],Other,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/1942.jpg?raw=true,
5  ,12170,NES,1943: The Battle of Midway,Other,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/1943%20The%20Battle%20Of%20Midway.jpg?raw=true,
6  ,8445,NES,3D WorldRunner,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/6/6a/NES3dworldrunnerbox_mod.png,
7  ,38021,NES,3D WorldRunner [5 Screw],Action & Adventure,https://upload.wikimedia.org/wikipedia/en/6/6a/NES3dworldrunnerbox_mod.png,
8  ,12171,NES,720,Sports,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/720.jpg?raw=true,
9  ,12172,NES,8 Eyes,Action & Adventure,https://www.mobygames.com/images/covers/l/33004-8-eyes-nes-front-cover.jpg,
10 ,12173,NES,A Boy and His Blob Trouble on Blobolonia,Action & Adventure,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/A%20Boy%20and%20His%20Blob.jpg?raw=true,
11 ,12174,NES,A Nightmare on Elm Street,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/30/A_Nightmare_on_Elm_Street_NES_box_art.jpg,
12 ,8451,NES,Abadox,Action & Adventure,https://github.com/ramiabraham/cover-art-collection/blob/master/nes/Abadox.jpg?raw=true,
13 ,8453,NES,Action 52,Action & Adventure,https://image.gamevaluenow.com/nes/action_52.jpg,
14 ,8455,NES,Addams Family,Action & Adventure,https://www.mobygames.com/images/covers/l/107779-the-addams-family-nes-front-cover.jpg,
15 ,8456,NES,Addams Family Pugsley's Scavenger Hunt,Action & Adventure,https://www.mobygames.com/images/covers/l/246769-the-addams-family-pugsley-s-scavenger-hunt-nes-front-cover.jpg,
16 ,8458,NES,Advanced Dungeons & Dragons Dragon Strike,Strategy,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/181680.jpg,
18 ,8460,NES,Advanced Dungeons & Dragons Hillsfar,Strategy,https://raw.githubusercontent.com/ramiabraham/cover-art-collection/master/nes/Advanced%20Dungeons%20and%20Dragons%20Hillsfar.jpg,
17 ,8459,NES,Advanced Dungeons & Dragons Heroes of the Lance,Strategy,https://upload.wikimedia.org/wikipedia/en/8/8f/Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png,
19 ,8462,NES,Advanced Dungeons & Dragons Pool of Radiance,Strategy,http://img1.game-oldies.com/sites/default/files/packshots/nintendo-nes/advanced-dungeons-dragons-pool-of-radiance-usa.png,
20 ,8464,NES,Adventure Island,Action & Adventure,https://raw.githubusercontent.com/ramiabraham/cover-art-collection/master/nes/Adventure%20Island.jpg,
21 ,12176,NES,Adventure Island 3,Action & Adventure,https://raw.githubusercontent.com/ramiabraham/cover-art-collection/master/nes/Adventure%20Island%203.jpg,
22 ,8465,NES,Adventure Island II,Action & Adventure,https://raw.githubusercontent.com/ramiabraham/cover-art-collection/master/nes/Adventure%20Island%202.jpg,
23 ,8466,NES,Adventures in the Magic Kingdom,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/ce/Adventures_in_the_Magic_Kingdom.png,
24 ,8468,NES,Adventures of Bayou Billy,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/2/23/Bayou_Billy_box.jpg,
25 ,12119,NES,Adventures of Captain Comic,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/99/CaptainComicBoxart.jpg,
26 ,12175,NES,Adventures of Dino Riki,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/e/ea/AdventuresofDinoRiki.jpg,
27 ,11979,NES,Adventures of Lolo,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/9b/BoxArtLolo1%28US%29.jpg,
28 ,11980,NES,Adventures of Lolo 2,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/9e/Adventures_of_Lolo_2_Cover.png,
29 ,8469,NES,Adventures of Lolo 3,Puzzle,https://upload.wikimedia.org/wikipedia/en/c/c7/BoxArtLolo3%28US%29.jpg,
30 ,12377,NES,Adventures of Rad Gravity,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/4/49/Radbox3.jpg,
31 ,8472,NES,Adventures of Tom Sawyer,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/cf/NES_Adventures_of_Tom_Sawyer_Box.JPG,
32 ,12177,NES,After Burner,Other,https://server.emulator.games/images/nintendo/after-burner.jpg,
33 ,8488,NES,Air Fortress,Other,https://upload.wikimedia.org/wikipedia/en/2/2e/Air_Fortress_Cover.png,
34 ,12178,NES,Airwolf,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/0/02/NesAirwolf.jpg,
35 ,8491,NES,Al Unser Turbo Racing,Racing,https://upload.wikimedia.org/wikipedia/en/c/c4/Al_Unser_Jr.%27s_Turbo_Racing_Coverart.png,
36 ,39509,NES,Aladdin Deck Enhancer,Accessories,https://thumbs.worthpoint.com/zoom/images2/1/0311/13/aladdin-deck-enhancer-sealed-nintendo_1_628ed7d576f3a7f0e6e7142fbb062180.jpg,
37 ,8493,NES,Alfred Chicken,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/b/b9/Alfred_Chicken_cover.jpg,
